"model","term","estimate","SE","df","t","p","ci_low","ci_high","ci_width"
"M2 trial","soundTypeFlute",0.0118486171341405,0.0170569188162104,686.919597764828,0.694651669613384,0.487508503140707,-0.0215823294328555,0.0452795637011365,0.066861893133992
"M2 trial","soundTypeSpeech",-0.000899113454065568,0.0170474483038393,687.103033786338,-0.0527418202443281,0.957952947436474,-0.034311498157899,0.0325132712497679,0.0668247694076669
"M2 trial","soundTypePink Noise",-0.0248098294570493,0.0170435280334371,687.176426557243,-1.45567451811478,0.145939303732861,-0.0582145305720848,0.00859487165798624,0.0668094022300711
"M2 trial","stimulusDisparity_m:trialSequence_c",0.00886803960724331,0.00597117498812912,710.542800560851,1.48514147129723,0.137949855703827,-0.00283524831487615,0.0205713275293628,0.0234065758442389
"M2 centred disparity","(Intercept)",0.140068615012923,0.0161931233175602,85.596768367239,8.64988256224968,2.62680839690864e-13,0.108330676513289,0.171806553512557,0.0634758769992676
"M2 centred disparity","stimDisparity_c",0.344505169659117,0.0535662713076507,30.3706958653293,6.431382309224,3.97316193717013e-07,0.239517207110021,0.449493132208214,0.209975925098193
"M2 centred disparity","trialSequence_c",0.000136860703683903,0.000875236259686997,701.626861474308,0.156370011147444,0.875786355134287,-0.00157857084326616,0.00185229225063396,0.00343086309390012
"M2 centred disparity","soundTypeFlute",0.0118486173042352,0.0170569188079291,686.919594007904,0.694651679922823,0.48750849668368,-0.0215823292465298,0.0452795638550002,0.06686189310153
"M2 centred disparity","soundTypeSpeech",-0.0008991132491156,0.0170474482952587,687.103030008158,-0.0527418082485497,0.957952956991006,-0.0343114979361314,0.0325132714379002,0.0668247693740316
"M2 centred disparity","soundTypePink Noise",-0.0248098295365598,0.0170435280249964,687.176422792439,-1.45567452350084,0.145939302246137,-0.0582145306350517,0.00859487156193217,0.0668094021969839
"M2 centred disparity","stimDisparity_c:trialSequence_c",0.00886803948740437,0.00597117498347333,710.542800176652,1.48514145238564,0.137949860711721,-0.0028352484255899,0.0205713274003986,0.0234065758259885
"M2 random trial slope","(Intercept)",0.0065845244192389,0.0214680066449094,51.4979418456001,0.306713358540917,0.760298313162047,-0.0354919954246501,0.0486610442631279,0.084153039687778
"M2 random trial slope","stimulusDisparity_m",0.347551707480393,0.0525319634539901,30.1333174987,6.61600451665575,2.4735184001991e-07,0.244590951073398,0.450512463887388,0.20592151281399
"M2 random trial slope","trialSequence_c",-0.00327550854184733,0.00245719664371242,405.765112520436,-1.33302662211787,0.183271023600259,-0.00809152546645637,0.0015405083827617,0.00963203384921807
"M2 random trial slope","soundTypeFlute",0.0146962681845829,0.0170205936950661,683.727325326144,0.863440397431202,0.3881981547594,-0.0186634824532362,0.0480560188224021,0.0667195012756383
