"replicate","max_LRT","argmax_breakpoint_m","n_singular","n_warn"
238,7.3148609800827,0.47,0,0
239,0.543178324116639,0.24,0,1
240,3.56192470337749,0.22,0,5
241,0.66008710009919,0.54,0,0
242,4.07321176853077,0.55,20,0
243,1.50395321693134,0.36,40,0
244,1.61530000687492,0.2,0,0
245,3.27554685796702,0.47,21,0
246,1.65266476102408,0.2,0,1
247,1.08002765776814,0.23,27,2
248,2.36003566765248,0.25,19,2
249,0.551277361590451,0.28,0,23
250,2.50139730108026,0.25,0,0
251,2.74100541821167,0.4,0,17
252,0.832490181064031,0.2,0,0
253,0.626424858032749,0.2,0,1
254,2.29587171074894,0.6,0,0
255,0.367855187077396,0.38,24,0
256,0.903800761587547,0.5,0,0
257,1.39329025600341,0.26,0,0
258,4.56413449678422,0.25,14,0
259,2.33948808374828,0.32,17,0
260,0.74228842090406,0.2,41,0
261,2.02667434967509,0.51,0,3
262,2.04221026004802,0.2,28,1
263,1.26228326005315,0.34,0,0
264,1.61333527284165,0.6,0,0
265,4.23818610712408,0.39,0,1
266,3.10345202009478,0.3,0,0
267,2.3947911024253,0.33,0,1
268,1.04539059536933,0.6,33,0
269,2.03156991932514,0.51,0,0
270,3.48069744473861,0.23,0,1
271,0.24170916911703,0.53,0,0
272,1.22246571939195,0.27,1,9
273,1.55242202065233,0.21,23,0
274,1.53241006839016,0.39,0,0
275,6.65133864063637,0.6,0,0
276,0.797583114522013,0.59,41,0
277,2.83893425915215,0.27,41,0
278,2.71135939100725,0.33,0,0
279,1.41023085496658,0.26,0,0
280,1.59824516799688,0.43,37,0
281,0.358841652810611,0.54,6,0
282,6.13589205867999,0.6,36,0
283,1.22957316650491,0.2,0,1
284,0.50467760750621,0.33,28,0
285,0.113951637042078,0.5,0,0
286,4.14546870922072,0.27,38,0
287,2.07134966590695,0.44,0,0
288,1.18357737755332,0.52,36,0
289,0.253534370045315,0.37,41,0
290,3.08791833457872,0.56,12,0
291,3.58143964454899,0.22,32,1
292,0.297226999519353,0.36,0,0
293,0.294689573751043,0.3,31,1
294,1.30537751372503,0.2,28,2
295,12.2140106981311,0.33,0,0
296,3.4820076068886,0.33,0,0
297,0.521066550457135,0.36,0,0
298,2.64900784747977,0.2,11,8
299,4.02779942805898,0.2,0,0
300,0.208665338252104,0.43,0,0
301,1.22985105120631,0.56,41,0
302,0.24150249320769,0.28,0,0
303,4.06257786002982,0.2,1,1
304,2.13553143653326,0.2,0,1
305,0.68293061552788,0.53,0,0
306,3.39738570951079,0.6,0,0
307,0.604369015441875,0.54,22,0
308,0.660236781394474,0.55,0,0
309,0.748017321173222,0.27,0,2
310,4.81690516128378,0.6,0,2
311,0.935274419583209,0.6,36,0
312,0.158938041388751,0.25,33,0
313,5.77928392634715,0.52,0,0
314,2.41475303020923,0.54,0,0
315,7.77206643034788,0.21,0,0
316,1.38218246798624,0.2,41,0
317,1.14236324789351,0.6,0,3
318,0.787718336208968,0.51,3,2
319,2.73558443071556,0.2,0,0
320,5.16869917286635,0.33,0,0
321,2.07354988352608,0.2,6,6
322,2.82710890338922,0.3,31,1
323,1.45771963468218,0.47,0,1
324,1.07893042462536,0.21,0,0
325,1.7891589663015,0.57,20,1
326,7.74585481592953,0.58,0,0
327,3.25493632360394,0.26,0,2
328,0.157361398797661,0.22,0,0
329,0.635136084470105,0.2,0,0
330,1.06308579836127,0.49,1,4
331,3.04158418444285,0.52,39,0
332,4.63476454932379,0.25,0,1
333,3.10190764822244,0.23,32,0
334,2.00591568580637,0.3,0,0
335,1.98278460164829,0.39,0,0
336,2.45895091537898,0.2,31,0
337,6.37359597256767,0.35,0,1
338,3.9306904443979,0.2,26,0
339,2.08492014233741,0.2,0,11
340,0.759717250066728,0.34,0,0
341,0.560121906439804,0.2,30,1
