"participantId","trialSequenceNum","soundType","disparityRange","stimulusDisparity_m","signedError_m","participantError_m","head_onset_x","head_onset_y","head_onset_z","angDisp_onset_deg","angDisp_mean_deg","angDisp_median_deg","angDisp_min_deg","angDisp_max_deg","angDisp_range_deg","angDisp_final_deg","angResp_onset_deg","angResp_mean_deg","angResp_final_deg","angBiasProportion_onset","angBiasProportion_mean","dist_at_onset_m","dist_mean_m","dist_min_m","trial_has_revisit"
"P006",24,"Speech","Medium (30-40cm)",0.310000002384186,-0.113770802645369,0.187679862976074,0.031175,1.537801,-0.075619,15.7608429984466,20.884779573586,19.7408376068946,3.25595254865114,47.7661136941118,44.5101611454606,17.905322510581,-14.7764242800523,-15.9733637320293,-12.0494834614337,-0.93754022430835,-0.764832766165822,0.435299047427011,0.458754047075794,0.215774553615293,FALSE
"P007",1,"Flute","Medium (30-40cm)",0.379999995231628,1.00482481857562,1.03599426269531,0.023461,1.662664,0.059302,45.2404113132375,32.5707320228109,28.7379395095085,17.9710336294711,104.745830091782,86.7747964623104,25.5293042464996,108.902658165104,79.7712312712225,82.2504945860267,2.40719867489886,2.44916912568483,0.533988852666383,0.700226058511339,0.326073342763365,FALSE
"P007",2,"Drum","Long (40-70cm)",0.639999985694885,0.367354240789017,0.382521629333496,0.847273,1.716709,-0.022589,30.9806235894132,69.1724146834849,58.5343942524078,30.9806235894132,166.149028065913,135.1684044765,49.6401826083168,17.5251301693971,51.2932108832567,30.2249192371932,0.565680355620275,0.74152696733172,1.10000155267985,0.517621641397131,0.0523816723242482,FALSE
"P007",3,"Drum","Short (15-30cm)",0.219999998807907,0.083564892411232,0.238544502258301,0.113796,1.516549,-0.038066,31.1389788604844,20.7573008846529,19.7031955192906,4.5499812149364,45.1676739485864,40.61769273365,33.0407230122269,15.1215301787445,9.38951890153849,7.45141698953155,0.485614195844226,0.452347776510804,0.406288177034093,0.395007366490952,0.172284510284953,FALSE
"P007",4,"Speech","Long (40-70cm)",0.52999997138977,0.396879790400347,0.420144462585449,-0.211991,1.651685,-0.279286,20.9587376923045,53.2625914930151,51.9592853961582,20.2762858984641,101.13920230234,80.8629164038763,48.6022000635761,20.1548793261272,53.4055885099048,55.8752130363095,0.961645668838513,1.00268475515144,0.955939878483451,0.440608354535582,0.208946690988519,FALSE
"P007",5,"Speech","Long (40-70cm)",0.52999997138977,0.282363355651675,0.290098152160645,0.460799,1.670026,0.147595,22.8833388581369,39.5985205538054,47.4701796497528,0.437312781941307,83.0240519985286,82.5867392165873,14.2501442893542,11.9099221122515,24.9210613773946,14.0482045722761,0.520462603210394,0.629343243860146,1.09246739787044,0.590070783916119,0.22461896963465,FALSE
"P007",6,"Drum","Medium (30-40cm)",0.370000004768372,0.186750605465495,0.261951007843018,-0.867984,1.528787,0.09071,18.9757035734273,38.5829905637528,39.0042713061327,18.7649389637615,70.0136104246774,51.2486714609159,40.8281356107081,8.63525273455373,22.0075725943995,18.1678880451897,0.45506890962642,0.570395717720097,1.13787140495487,0.515471882157566,0.186711380839695,FALSE
"P007",7,"Flute","Long (40-70cm)",0.479999989271164,0.443363513841186,0.46705207824707,-0.211529,1.593609,0.278672,42.7132402855722,45.2155443128688,44.6045128392708,10.8801794114059,89.5048516103422,78.6246721989363,76.1740713971658,34.267388179676,48.0397513301925,88.7156821155263,0.802266181412861,1.0624609757605,0.703785531660497,0.463119315729556,0.172063167201906,FALSE
"P007",8,"Flute","Medium (30-40cm)",0.379999995231628,0.126996231001283,0.201713390350342,0.42923,1.668409,0.375515,37.8719660162409,39.1242797519008,37.3662633099417,19.6804611719193,51.9890509411124,32.3085897691932,30.485557520037,1.81241069429367,15.233273282323,6.74367142689863,0.0478562611066044,0.389356005501491,0.127107588391295,0.375429126540361,0.100663271328992,FALSE
"P007",9,"Pink Noise","Medium (30-40cm)",0.340000003576279,0.155835225850103,0.168951892852783,0.115971,1.657355,0.119204,15.0675464771491,26.66146481386,23.0958057212964,12.0213067609104,51.366398429746,39.3450916688356,19.4110678304512,16.1945616118493,18.6120196924684,17.9715530388314,1.07479752170729,0.69808691391903,0.374427794438185,0.436224826699863,0.139005522552523,FALSE
