"subset","optimizer","logLik_REML","est","se","df","p","sd_int","sd_slope","cor_int_slope","singular","dLogLik"
"rt_ge_3","nloptwrap.NLOPT_LN_BOBYQA",263.350752331955,0.352016156511694,0.0522475665573837,30.385303931416,1.69830599479532e-07,0.0402894937753489,0.184793712599881,-0.497379855632433,FALSE,0
"rt_ge_3","nloptwrap.NLOPT_LN_BOBYQA",263.350752331955,0.352016156511694,0.0522475665573837,30.385303931416,1.69830599479532e-07,NA,NA,-0.497379855632433,FALSE,0
"err_3sd","bobyqa",340.004805481111,0.317545542059213,0.0503353353385623,30.2867996359952,5.66284096447427e-07,0.0428092497470391,0.19447709484383,-0.412490783602807,FALSE,0
"err_3sd","bobyqa",340.004805481111,0.317545542059213,0.0503353353385623,30.2867996359952,5.66284096447427e-07,NA,NA,-0.412490783602807,FALSE,0
"err_3sd","Nelder_Mead",340.004805481111,0.317545540840044,0.0503353382294558,30.2868117540803,5.6628371363393e-07,0.0428092482151443,0.194477118795024,-0.41249076741987,FALSE,-3.97903932025656e-13
"err_3sd","Nelder_Mead",340.004805481111,0.317545540840044,0.0503353382294558,30.2868117540803,5.6628371363393e-07,NA,NA,-0.41249076741987,FALSE,-3.97903932025656e-13
"err_3sd","nlminbwrap",340.004805481111,0.317545540840044,0.0503353382294558,30.2868117540803,5.6628371363393e-07,0.0428092482151443,0.194477118795024,-0.41249076741987,FALSE,-3.97903932025656e-13
"err_3sd","nlminbwrap",340.004805481111,0.317545540840044,0.0503353382294558,30.2868117540803,5.6628371363393e-07,NA,NA,-0.41249076741987,FALSE,-3.97903932025656e-13
"err_3sd","nloptwrap.NLOPT_LN_NELDERMEAD",340.004805481111,0.317545540840044,0.0503353382294558,30.2868117540803,5.6628371363393e-07,0.0428092482151443,0.194477118795024,-0.41249076741987,FALSE,-3.97903932025656e-13
"err_3sd","nloptwrap.NLOPT_LN_NELDERMEAD",340.004805481111,0.317545540840044,0.0503353382294558,30.2868117540803,5.6628371363393e-07,NA,NA,-0.41249076741987,FALSE,-3.97903932025656e-13
"err_3sd","nloptwrap.NLOPT_LN_BOBYQA",340.004805481111,0.317545540840044,0.0503353382294558,30.2868117540803,5.6628371363393e-07,0.0428092482151443,0.194477118795024,-0.41249076741987,FALSE,-3.97903932025656e-13
"err_3sd","nloptwrap.NLOPT_LN_BOBYQA",340.004805481111,0.317545540840044,0.0503353382294558,30.2868117540803,5.6628371363393e-07,NA,NA,-0.41249076741987,FALSE,-3.97903932025656e-13
