participantId,level,run_id,run_start,run_end,run_samples,run_duration,levelTime,n_runs,run_dur_diff,is_matched_run
P002,8,8,486.336,528.69,383,42.35400000000004,42.39544677734375,1,-0.04144677734370816,TRUE
P002,9,9,528.8,556.643,252,27.843000000000075,27.95257568359375,1,-0.10957568359367542,TRUE
P002,10,10,556.754,619.902,571,63.148000000000025,63.2867431640625,1,-0.13874316406247544,TRUE
P002,11,11,620.014,646.529,240,26.514999999999986,26.64215087890625,1,-0.12715087890626364,TRUE
P002,12,12,646.641,699.126,476,52.485000000000014,52.5963134765625,1,-0.11131347656248636,TRUE
P002,13,13,699.237,741.882,386,42.64499999999998,42.756591796875,1,-0.11159179687501819,TRUE
P002,14,14,741.994,780.203,345,38.208999999999946,38.306884765625,1,-0.09788476562505366,TRUE
P002,15,15,780.315,829.951,449,49.63599999999997,49.69232177734375,1,-0.05632177734378274,TRUE
P002,16,16,830.062,891.682,556,61.620000000000005,61.7720947265625,1,-0.15209472656249545,TRUE
P002,17,17,891.793,963.47,647,71.67700000000002,71.8302001953125,1,-0.15320019531247908,TRUE
P002,18,18,963.583,1068.576,953,104.99300000000005,105.04876708984375,1,-0.05576708984369816,TRUE
P002,19,19,1068.682,1152.462,756,83.77999999999997,83.9146728515625,1,-0.13467285156252728,TRUE
P002,20,20,1152.572,1186.554,307,33.9820000000002,34.0638427734375,1,-0.08184277343730173,TRUE
P002,21,21,1186.662,1258.869,652,72.20699999999988,72.28857421875,1,-0.08157421875012005,TRUE
P002,22,22,1258.98,1365.476,961,106.4960000000001,106.7041015625,1,-0.2081015624999054,TRUE
P002,23,23,1365.587,1469.971,942,104.38400000000001,104.4256591796875,1,-0.04165917968748545,TRUE
P002,24,24,1470.083,1543.731,664,73.64799999999991,73.8294677734375,1,-0.18146777343758913,TRUE
P003,1,1,178.215,258.745,726,80.53,80.668670654296875,1,-0.13867065429687386,TRUE
P003,2,2,258.856,339.96,740,81.103999999999985,81.286102294921875,1,-0.18210229492189,TRUE
P003,3,3,340.073,375.023,319,34.950000000000045,34.963897705078125,1,-0.013897705078079525,TRUE
P003,4,4,375.123,414.764,360,39.64100000000002,39.759185791015625,1,-0.11818579101560545,TRUE
P003,5,5,414.874,497.634,747,82.75999999999999,82.930511474609375,1,-0.1705114746093841,TRUE
P003,6,6,497.743,526.328,263,28.58499999999998,28.642608642578125,1,-0.057608642578145464,TRUE
P003,7,7,526.439,586.855,548,60.416000000000054,60.51593017578125,1,-0.09993017578119634,TRUE
P003,8,8,586.967,608.328,198,21.36099999999999,21.55364990234375,1,-0.19264990234376,TRUE
P003,9,9,608.439,636.772,256,28.333000000000084,28.445068359375,1,-0.11206835937491633,TRUE
P003,10,10,636.884,681.575,405,44.69100000000003,44.73260498046875,1,-0.04160498046871908,TRUE
P003,11,11,681.685,724.58,387,42.895000000000095,43.07464599609375,1,-0.1796459960936545,TRUE
P003,12,12,724.691,810.777,777,86.08600000000001,86.1759033203125,1,-0.08990332031248727,TRUE
P003,13,13,810.884,854.566,396,43.682000000000016,43.768798828125,1,-0.08679882812498363,TRUE
P003,14,14,854.677,891.189,330,36.511999999999944,36.5677490234375,2,-0.05574902343755639,TRUE
P003,15,15,891.301,950.192,531,58.89099999999996,30.1724853515625,2,28.718514648437463,FALSE
P003,14,16,950.304,973.99,217,23.686000000000035,36.5677490234375,2,-12.881749023437465,FALSE
P003,15,17,974.104,1004.219,272,30.11500000000001,30.1724853515625,2,-0.057485351562490905,TRUE
