participantId,level,run_id,run_start,run_end,run_samples,run_duration,gap_to_next_s,gap_from_prev_s
P010,5,5,470.172,501.337,282,31.164999999999964,0.11000000000001364,0.11100000000004684
P010,6,6,501.447,548.528,425,47.08100000000002,0.11099999999999,0.11000000000001364
P010,7,7,548.639,569.261,187,20.621999999999957,0.11099999999999,0.11099999999999
P010,8,8,569.372,593.843,222,24.471000000000004,0.10000000000002274,0.11099999999999
P010,9,9,593.943,611.771,164,17.827999999999975,0.10500000000001819,0.10000000000002274
P010,10,10,611.876,635.104,211,23.228000000000065,0.11099999999999,0.10500000000001819
P010,11,11,635.215,649.324,128,14.108999999999924,0.11200000000008004,0.11099999999999
P010,12,12,649.436,691.902,384,42.46600000000001,0.10099999999999909,0.11200000000008004
P010,13,13,692.003,713.446,194,21.442999999999984,0.11099999999999,0.10099999999999909
P010,14,14,713.557,754.775,372,41.21799999999996,0.11400000000003274,0.11099999999999
P010,15,15,754.889,771.786,154,16.896999999999935,0.11100000000010368,0.11400000000003274
P010,16,16,771.897,796.995,227,25.097999999999956,0.11099999999999,0.11100000000010368
P010,17,17,797.106,813.995,153,16.88900000000001,0.11099999999999,0.11099999999999
P010,18,18,814.106,851.535,338,37.428999999999974,0.11099999999999,0.11099999999999
P010,19,19,851.646,888.82,339,37.17400000000009,0.10999999999989996,0.11099999999999
P010,20,20,888.93,927.999,354,39.069000000000074,0.11000000000001364,0.10999999999989996
P010,21,21,928.109,952.563,222,24.45399999999995,0.11099999999999,0.11000000000001364
P010,22,22,952.674,972.869,183,20.19500000000005,0.10099999999999909,0.11099999999999
P010,23,23,972.97,1004.824,288,31.853999999999928,0.11000000000001364,0.10099999999999909
P010,24,24,1004.934,1029.418,222,24.483999999999924,NA,0.11000000000001364
P011,1,1,24.159,97.487,662,73.328,0.10999999999999943,NA
P011,2,2,97.597,133.817,330,36.22000000000001,0.11299999999999955,0.10999999999999943
P011,3,3,133.93,152.802,171,18.871999999999986,0.11000000000001364,0.11299999999999955
P011,4,4,152.912,191.689,350,38.77699999999999,0.11100000000001842,0.11000000000001364
P011,5,5,191.8,211.352,177,19.551999999999992,0.11099999999999,0.11100000000001842
P011,6,6,211.463,222.908,104,11.444999999999993,0.11200000000002319,0.11099999999999
P011,7,7,223.02,244.796,197,21.775999999999982,0.11299999999999955,0.11200000000002319
P011,8,8,244.909,279.099,311,34.19,0.10800000000000409,0.11299999999999955
P011,9,9,279.207,309.179,271,29.97199999999998,0.11100000000004684,0.10800000000000409
P011,10,10,309.29,343.72,311,34.43000000000001,0.1099999999999568,0.11100000000004684
P011,11,11,343.83,356.384,114,12.55400000000003,0.1139999999999759,0.1099999999999568
P011,12,12,356.498,384.827,256,28.329000000000008,0.11099999999999,0.1139999999999759
P011,13,13,384.938,424.043,353,39.10500000000002,0.11099999999999,0.11099999999999
P011,14,14,424.154,459.619,335,35.46500000000003,0.1029999999999518,0.11099999999999
P011,15,15,459.722,489.483,270,29.761000000000024,0.11099999999999,0.1029999999999518
P011,16,16,489.594,529.989,374,40.39500000000004,0.11399999999991905,0.11099999999999
P011,17,17,530.103,550.703,187,20.600000000000023,0.11099999999999,0.11399999999991905
P011,18,18,550.814,579.603,260,28.788999999999987,0.11100000000010368,0.11099999999999
P011,19,19,579.714,608.405,261,28.690999999999917,0.11300000000005639,0.11100000000010368
P011,20,20,608.518,649.07,366,40.55200000000002,0.11099999999999,0.11300000000005639
